id,type,name,displayName,relProjectToPlatform,relProjectToApplication,relProjectToBusinessCapability,relProjectToProcess,businessValue,relToChild,relProjectToDataObject,relProjectToInterface,relProjectToITComponent,LevelofEffort,relProjectToObjective,tags:GD IT Teams,tags:Owned By,tags:Owning Function,tags:Business Domain,tags:Main Area,tags:Type of Work,tags:Business Unit,tags:LX PS WiP,tags:Project Phase,tags:Region,tags:Other tags,relProjectToTechnicalStack,relProjectToUserGroup
dfe2dd17-1950-4cfc-83da-2a1342903af9,Project,IOPS - GLO Enterprise Integration Platform,IOPS - GLO Enterprise Integration Platform,,,IOPS Enterprise Support / Application Management,,,,,,,,,,,,Business Ops - Dave,IOPS,,,,,,,,
07409b15-6f3a-4ade-9149-7e1bb079b1ff,Project,IOPS - GLO ERP Capability to the Cloud,IOPS - GLO ERP Capability to the Cloud,,Future State ERP;Oracle eBusiness Suite [Platform];Oracle eBusiness Suite [Platform] / Oracle OPM and Mobile Applications;Oracle eBusiness Suite [Platform] / Oracle Order Management and Shipping,IOPS Product Manufacturing / Regulatory Jurisdiction Planning;IOPS Supply Chain Management / Inbound / Outbound Transportation Management;IOPS Supply Chain Management / Order Management;IOPS Supply Chain Management / Product Lifecycle Management,,significantBusinessBenefit,,,,,High,Forward5 - Technology Roadmap,,,,Supply Chain - Scott,IOPS,Project,,,3. Prioritize,Global,Digital Transformation,,IOPS - Supply Chain
9432ffcf-54ed-4a0f-a86c-019b0166d34b,Project,IOPS - GLO Fire Extinguishers Monitoring,IOPS - GLO Fire Extinguishers Monitoring,,,IOPS Plant Management / Environmental Health and Safety (EHS),,,,,,,,,,,,Tech Ops - Tik,IOPS,,,,,,,,
8bf3cef2-5811-4c32-93f3-0dfe08c9667d,Project,IOPS - GLO Global Vision Verify Clinical Label Review,IOPS - GLO Global Vision Verify Clinical Label Review,,,,,,,,,,,,,,,,,,,,,,,,
e04d973f-f358-4d29-bd0c-dc5f1d60097e,Project,IOPS - GLO IPEM / Endotoxin Validated Report,IOPS - GLO IPEM / Endotoxin Validated Report,,,IOPS Quality Control / In-Process and Product Release Testing,,,,,,,,,,,,QC - Fred,IOPS,,,,,,,,
e0f12c62-dfdf-4ddd-baf1-3fdb94e1f196,Project,IOPS - GLO Key Management,IOPS - GLO Key Management,,,IOPS Plant Management / Key Management,,,,,,,,,,,,Tech Ops - Tik,IOPS,,,,,Global,,,
0bf164f5-1af6-4fa7-b411-062dfcae3c45,Project,IOPS - GLO Lab Bus,IOPS - GLO Lab Bus,,,IOPS Quality Control / Lab Data Capture & Mgmt,,,,,,,,,,,,QC - Fred,IOPS,,,,,,,,
89afbca2-a6a0-4d9d-8fea-b6189b11e1fa,Project,IOPS - GLO Lab-X,IOPS - GLO Lab-X,,,IOPS Quality Control / Lab Data Capture & Mgmt,,,,,,,Medium,,,,,QC - Fred,IOPS,Project,,,On Hold,Global,,,IOPS - QC
4f6ccddf-541b-4d88-ae0e-d01185451382,Project,IOPS - GLO Labels Phase 4,IOPS - GLO Labels Phase 4,,DSI Enterprise Printing Platform (OPM);OpsTrakker;Oracle eBusiness Suite [Platform] / Oracle OPM and Mobile Applications,IOPS Quality Assurance / Document Control,,,,,,,,,,,,Mfg - Ben,IOPS,,,,,,,,
361821f7-f76c-43f1-a980-c7e371ba0d6a,Project,IOPS - GLO Master Data Management,IOPS - GLO Master Data Management,,,IOPS Enterprise Support / Master Data Management,,,,,,,,,,,,Business Ops - Dave,IOPS,,,,,Global,,,
316aef72-26f1-43d0-ad93-694c10051c1b,Project,IOPS - GLO Method Performance Data Mart,IOPS - GLO Method Performance Data Mart,,,IOPS Quality Control / Assay Development,,,,,,,,,,,,QC - Fred,IOPS,Project,,,7. Execute,Global,,,IOPS IT Analytics
7820c4cb-a6dd-452b-820c-707acd2e0c8f,Project,IOPS - GLO Microlearning Platform,IOPS - GLO Microlearning Platform,,,IOPS Quality Assurance / Technical Training (Learning Management),,,,,,,,,,,,Tech Ops - Tik,IOPS,,,,,,,,
5b55cbc8-9903-4728-a9eb-13dc5333dc69,Project,IOPS - GLO Monitoring & Material Shelf Life,IOPS - GLO Monitoring & Material Shelf Life,,,IOPS Supply Chain Management / Inventory Management,,,,,,,,,,,,,IOPS,,,,,,,,
